OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
266,1,266,128801,1288.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,720656.56640625,3490.80808929377
267,1,267,128802,1288.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1422180.125,4875.4889635554
268,1,268,128910,1289.10,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1957255.41796875,6412.94357801524
269,1,269,131021,1310.21,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,824599.55078125,3918.54642642499
270,1,270,131022,1310.22,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,739148.89453125,3711.20113582355
271,1,271,131023,1310.23,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,863301.3671875,3725.8812309014
272,1,272,131024,1310.24,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1254241.31640625,4536.41640605878
273,1,273,131100,1311.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1615275.84375,5236.03757218785
274,1,274,131200,1312.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1654264.0859375,5347.69864428145
275,1,275,131300,1313.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1638997.87109375,5316.33900024183
276,1,276,131400,1314.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1623060.21875,5283.41222312965
277,1,277,131600,1316.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3211794.1328125,7171.68799418127
278,1,278,131701,1317.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,966842.65625,3933.2474881447
279,1,279,131702,1317.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1056890.484375,4116.09297250714
280,1,280,131801,1318.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,961940.3984375,3924.22495521557
281,1,281,131802,1318.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,966249.8046875,3932.25220585521
282,1,282,131900,1319.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1932046.23828125,5875.75935831705
283,1,283,132001,1320.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1419282.921875,4863.96923203994
284,1,284,132002,1320.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2344816.8046875,7765.32806527971
285,1,285,132101,1321.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1187540.69921875,4384.95993452277
286,1,286,132102,1321.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2009767.52734375,6973.08094608562
287,1,287,132301,1323.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,924704.65625,4844.38509131315
288,1,288,132302,1323.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,948959.44921875,4863.72835109338
289,1,289,132501,1325.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1032814.94140625,4061.41960997285
290,1,290,132502,1325.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,915446.44140625,4047.61482429544
291,1,291,132700,1327.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1935971.984375,5785.96589328822
292,1,292,132900,1329.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1749254.87109375,6708.69429034968
293,1,293,133000,1330.00,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1468597.91015625,5227.33834343584
294,1,294,133101,1331.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,972467.9296875,4050.08025150575
295,1,295,133102,1331.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1254324.046875,4451.38781286596
296,1,296,134001,1340.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,855151.8359375,4485.77583229637
297,1,297,134002,1340.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1104341.23046875,5032.55710472927
298,1,298,134101,1341.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1562425.5078125,5157.20962777239
